17,47954
17,1231
17,87120
17,75262
17,92007
17,134060
17,95128
17,217026
17,75388
17,67606
17,17149
17,19939
17,69604
17,44389
17,163216
17,17040
17,8877
17,20923
17,2851
17,6559
17,444430
17,152594
17,75621
17,207594
17,8998
17,122416
17,142162
17,293793
17,152439
17,94251
17,33046
17,20735
17,183154
17,196939
17,25233
17,39965
17,218460
17,93752
17,147994
17,35659
17,24255
17,48476
17,367084
17,30252
17,54806
17,97571
17,21154
17,47991
17,5452
17,417408
17,32909
17,10574
17,197713
17,59047
17,108317
17,1495
17,17035
17,63563
17,5716
17,56675
17,2468
17,184188
17,25529
17,45433
17,39893
17,65226
17,58449
17,40509
17,50848
17,43590
17,2008
17,1622
17,45270
17,146963
17,48802
17,168407
17,14526
17,95543
17,13063
17,212490
17,157646
17,56921
17,28473
17,10378
17,1010
17,84868
17,189580
17,22813
17,21431
17,4919
17,106419
17,419853
17,29600
17,524267
17,20395
17,23649
17,662514
17,227540
17,45667
17,174467
